seed,N,pair,c,routing_F0,routing_Fi,routing_Fj,routing_Fij,F0_to_Fi,F0_to_Fj,F0_to_Fij,Fij_pattern_new,total_routing_changes,gamma_oper
1,100,art_painting-sketch,0.1,"F,F,F,F","F,F,F,D","D,D,D,D","F,F,F,F",1,4,0,True,5,0.0815445740319561
1,100,art_painting-sketch,0.15,"F,F,F,F","F,F,F,D","D,D,D,D","F,F,F,F",1,4,0,True,5,0.1440445740319561
1,100,cartoon-sketch,0.0,"D,D,F,D","D,D,F,D","D,D,D,D","D,D,D,D",0,1,1,False,2,0.0107369034686555
1,100,cartoon-sketch,0.02,"D,D,F,D","D,D,F,D","D,D,D,D","D,D,F,D",0,1,0,False,1,0.0123919009566488
1,100,cartoon-sketch,0.05,"F,F,F,D","D,D,F,D","D,D,D,D","D,D,F,D",2,3,2,False,7,0.0237019117070155
1,100,cartoon-sketch,0.1,"F,F,F,F","D,D,F,D","D,D,D,D","D,D,F,D",3,4,3,False,10,0.0674909917350448
1,100,cartoon-sketch,0.15,"F,F,F,F","F,D,F,F","D,D,D,D","D,D,F,F",1,4,2,True,7,0.1105078629637356
2,25,photo-art_painting,0.0,"D,F,F,D","D,F,D,D","D,F,F,D","D,F,D,D",1,0,1,False,2,0.007917374824679
2,25,photo-art_painting,0.02,"D,F,F,D","D,F,D,D","D,F,F,D","F,F,D,D",1,0,2,True,3,0.0094320417469417
2,25,photo-art_painting,0.05,"F,F,F,D","F,F,F,D","F,F,F,D","F,F,D,D",0,0,1,True,1,0.0028352230834817
2,25,photo-art_painting,0.1,"F,F,F,D","F,F,F,D","F,F,F,D","F,F,F,D",0,0,0,False,0,0.0006736708736042
2,25,photo-art_painting,0.15,"F,F,F,F","F,F,F,D","F,F,F,D","F,F,F,D",1,1,1,False,3,0.0098213001120441
2,25,photo-cartoon,0.0,"D,F,F,D","D,F,D,D","D,D,F,D","D,F,F,D",1,1,0,True,2,0.0137027138330573
2,25,photo-cartoon,0.02,"D,F,F,D","D,F,D,D","D,F,F,D","D,F,F,D",1,0,0,False,1,0.0196712723183559
2,25,photo-cartoon,0.05,"F,F,F,D","F,F,F,D","F,F,F,D","F,F,F,D",0,0,0,False,0,0.0258394558367104
2,25,photo-cartoon,0.1,"F,F,F,D","F,F,F,D","F,F,F,D","F,F,F,D",0,0,0,False,0,0.0258394558367104
2,25,photo-cartoon,0.15,"F,F,F,F","F,F,F,D","F,F,F,F","F,F,F,F",1,0,0,False,1,0.0308566990432086
2,25,photo-sketch,0.0,"D,F,F,D","D,F,D,D","D,D,F,D","D,F,F,D",1,1,0,True,2,0.0202446652638637
2,25,photo-sketch,0.02,"D,F,F,D","D,F,D,D","D,D,F,D","D,F,F,D",1,1,0,True,2,0.0302446652638638
2,25,photo-sketch,0.05,"F,F,F,D","F,F,F,D","D,D,F,D","F,F,F,D",0,2,0,False,2,0.0407240680171622
2,25,photo-sketch,0.1,"F,F,F,D","F,F,F,D","D,D,F,F","F,F,F,D",0,3,0,False,3,0.0600956794201048
2,25,photo-sketch,0.15,"F,F,F,F","F,F,F,D","F,F,F,F","F,F,F,F",1,0,0,False,1,0.0742405747166246
2,25,art_painting-cartoon,0.0,"D,F,F,D","D,F,F,D","D,D,F,D","D,F,F,D",0,1,0,False,1,0.0136687582768399
