index,N,pair,c,routing_change,count,mean,std,median,min,max
95,100,cartoon-sketch,0.02,True,5,0.02209967023819907,0.015839836345451146,0.0257351517221595,1.4499002841450448e-05,0.038624632947517
96,100,cartoon-sketch,0.05,True,5,0.03931456835603146,0.020164100447763896,0.0505420079349839,0.0119300938767649,0.0561962208460555
97,100,cartoon-sketch,0.1,True,5,0.08636399185514385,0.025488969749729935,0.0963882125046845,0.0517816032374508,0.1093044022515609
98,100,cartoon-sketch,0.15,True,5,0.13440127914881747,0.026832962947453763,0.1423556279999144,0.1017816032374508,0.1598734563240959
99,100,photo-art_painting,0.0,False,1,0.0,0.0,0.0,0.0,0.0
100,100,photo-art_painting,0.0,True,4,0.016584741746683,0.006396853702292093,0.0138516090776257,0.0125046198692082,0.0261311289622724
101,100,photo-art_painting,0.02,True,5,0.018587346076213297,0.014750577442943351,0.0179730902310212,-0.002009310520968,0.0396347489246562
102,100,photo-art_painting,0.05,True,5,0.02968913884379392,0.017813470469439922,0.0293910954169365,0.0070039855023807,0.0545326305247547
103,100,photo-art_painting,0.1,False,1,0.0247292520950938,0.0,0.0247292520950938,0.0247292520950938,0.0247292520950938
104,100,photo-art_painting,0.1,True,4,0.060000180307537225,0.022704799967451974,0.06712196274794105,0.0278165303298432,0.0779402654044236
105,100,photo-art_painting,0.15,True,5,0.07297725304935142,0.030011292522182546,0.0875908082161345,0.0298406151938125,0.0996373611552382
106,100,photo-cartoon,0.0,False,1,0.0,0.0,0.0,0.0,0.0
107,100,photo-cartoon,0.0,True,4,0.019508748018142202,0.006660107314591246,0.02017934250000045,0.0107369034686555,0.0269394036039124
108,100,photo-cartoon,0.02,True,5,0.0237101818965398,0.01590381570282904,0.0328206472201555,0.0018871017386313,0.0370553473367342
109,100,photo-cartoon,0.05,True,5,0.04430596076026436,0.019589264405849988,0.0532910880736645,0.0208634519491722,0.0616433168075402
110,100,photo-cartoon,0.1,True,5,0.09653146320717151,0.018315614025434416,0.0864956653488714,0.0777548697375654,0.119669030418419
111,100,photo-cartoon,0.15,True,5,0.13857111727085103,0.02572747443285443,0.1489956653488716,0.1055723819107412,0.1653706544198863
112,100,photo-sketch,0.0,False,1,0.0,0.0,0.0,0.0,0.0
113,100,photo-sketch,0.0,True,4,0.018373295781212624,0.0045021812020622455,0.019480132438835597,0.0125046198692082,0.0220282983779711
114,100,photo-sketch,0.02,True,5,0.022429827329836498,0.015127361393328466,0.0304474233489103,-0.002009310520968,0.0340239149812784
115,100,photo-sketch,0.05,True,5,0.044520591300877,0.018123492948846152,0.0545493859730404,0.0163288907060978,0.0586118844520845
116,100,photo-sketch,0.1,True,5,0.09882245581201582,0.01829435293000845,0.1046191716333579,0.0696974371330624,0.1175761199934599
117,100,photo-sketch,0.15,True,5,0.16453741902086527,0.0164022940148248,0.1704909519901803,0.1370798341867668,0.1800395656853511
