seed,N,pair,c,gamma_learn,gamma_oper,delta_gamma,delta_class,sign_change,route_interaction_count,route_interaction_l1
0,50,cartoon-sketch,0.0,0.1917397901060225,0.0157351517221595,-0.176004638383863,ABSORB,False,2,2
0,50,cartoon-sketch,0.02,0.1917397901060225,0.0289814451076469,-0.1627583449983756,ABSORB,False,2,3
0,50,cartoon-sketch,0.05,0.1917397901060225,0.0553372407474155,-0.136402549358607,ABSORB,False,3,5
0,50,cartoon-sketch,0.1,0.1917397901060225,0.0977334734610172,-0.09400631664500529,ABSORB,False,1,1
0,50,cartoon-sketch,0.15,0.1917397901060225,0.1150949296957762,-0.07664486041024629,ABSORB,False,2,2
0,100,photo-art_painting,0.0,0.1281162129175034,0.0137132615311524,-0.11440295138635101,ABSORB,False,1,1
0,100,photo-art_painting,0.02,0.1281162129175034,0.019833581877149,-0.10828263104035442,ABSORB,False,2,2
0,100,photo-art_painting,0.05,0.1281162129175034,0.036994417337928,-0.09112179557957542,ABSORB,False,4,4
0,100,photo-art_painting,0.1,0.1281162129175034,0.0737344613399592,-0.05438175157754421,ABSORB,False,2,2
0,100,photo-art_painting,0.15,0.1281162129175034,0.0941063700773384,-0.03400984284016502,ABSORB,False,1,1
0,100,photo-cartoon,0.0,0.2248046479260899,0.0201025467555854,-0.2047021011705045,ABSORB,False,2,3
0,100,photo-cartoon,0.02,0.2248046479260899,0.0351025467555854,-0.1897021011705045,ABSORB,False,2,3
0,100,photo-cartoon,0.05,0.2248046479260899,0.0601856493808223,-0.1646189985452676,ABSORB,False,4,6
0,100,photo-cartoon,0.1,0.2248046479260899,0.1123519476427686,-0.1124527002833213,ABSORB,False,4,5
