state_type,seed,evaluation_split,test_used,ba_photo,ba_art_painting,ba_cartoon,ba_sketch,N,domain,domain_i,domain_j
Fi,3,validation,False,0.7332300730679882,0.42122986927161543,0.7494690227141678,0.6730816400340238,25.0,sketch,,
Fi,3,validation,False,0.8866654559487868,0.7733100519600351,0.7280249583582634,0.6642687026532464,50.0,art_painting,,
Fi,3,validation,False,0.8454712004688167,0.6403689572189178,0.8331129929826034,0.7046786202795406,50.0,cartoon,,
Fi,3,validation,False,0.9607330140064925,0.7354631247628667,0.7061771154480313,0.5790245938643226,50.0,photo,,
Fi,3,validation,False,0.478660421509619,0.2725299389197942,0.649572985617945,0.6604508229864823,50.0,sketch,,
Fi,4,validation,False,0.8522905268892874,0.6913623191240613,0.6878311327533239,0.5077195082883611,100.0,art_painting,,
Fi,4,validation,False,0.7859639962770425,0.6012835583817882,0.7643482007422115,0.599967599893333,100.0,cartoon,,
Fi,4,validation,False,0.9061599055640054,0.5979999157486873,0.6467148302049146,0.49052057207988964,100.0,photo,,
Fi,4,validation,False,0.41282557688087645,0.28266178719055096,0.5340334065818783,0.47530776749736237,100.0,sketch,,
Fi,4,validation,False,0.9258983905019182,0.7274763750329616,0.7610740054334643,0.6690628885042956,25.0,art_painting,,
Fi,4,validation,False,0.8913475290004768,0.686581989440098,0.8008759299008595,0.6770474024063666,25.0,cartoon,,
Fi,4,validation,False,0.8859276747406416,0.6915623777678254,0.7115591936782816,0.5762622105452336,25.0,photo,,
Fi,4,validation,False,0.7909638827722413,0.6452481521454283,0.747538935873717,0.734966662937075,25.0,sketch,,
Fi,4,validation,False,0.8969773671426301,0.7209113797012737,0.693463046535786,0.5196301377790279,50.0,art_painting,,
Fi,4,validation,False,0.86587137635922,0.6533493785160788,0.7733705841414643,0.7102708480569087,50.0,cartoon,,
Fi,4,validation,False,0.925722458059976,0.6423001685702868,0.6567152381781646,0.4915984655555837,50.0,photo,,
Fi,4,validation,False,0.6489358779363547,0.471344929066115,0.7130480349981492,0.5930204929732389,50.0,sketch,,
Fij,0,validation,False,0.8643169911642817,0.7259189195447752,0.7612435937807643,0.7209518177517513,100.0,,art_painting,cartoon
Fij,0,validation,False,0.8795760301401491,0.7167217973861449,0.7701173652348826,0.6041480126604074,100.0,,art_painting,sketch
Fij,0,validation,False,0.803912048072226,0.5697583511016346,0.7876033176427821,0.6122267164123014,100.0,,cartoon,sketch
Fij,0,validation,False,0.920208436853916,0.7614422516846487,0.6605187884971745,0.5472269954029962,100.0,,photo,art_painting
Fij,0,validation,False,0.9244047513950581,0.7483410017581267,0.7885224242861855,0.7617596544398195,100.0,,photo,cartoon
Fij,0,validation,False,0.9142347212027809,0.7492584517441436,0.733146504978558,0.6731614950520513,100.0,,photo,sketch
Fij,0,validation,False,0.9140247373204627,0.7607585951374526,0.7743554774254059,0.7494765174847319,25.0,,art_painting,cartoon
Fij,0,validation,False,0.8985767338699169,0.7504747120110155,0.7792630454221866,0.7643678702578384,25.0,,art_painting,sketch
Fij,0,validation,False,0.8092848188589488,0.6760870726923919,0.8150777572674974,0.736862218325634,25.0,,cartoon,sketch
Fij,0,validation,False,0.9353516588936898,0.7398439239534514,0.6703746769399801,0.5140585598592395,25.0,,photo,art_painting
Fij,0,validation,False,0.9145525346462896,0.7676701526381697,0.7839937898319995,0.69968135143793,25.0,,photo,cartoon
Fij,0,validation,False,0.8940024903794171,0.7204207213128772,0.7670467753172518,0.7204441511148596,25.0,,photo,sketch
