seed,N,domain_i,domain_j,pair,c,V_F0,V_Fij,V_Fij_CM,DeltaV_ij,DeltaV_ij_CM,D_dose,routing_Fij_CM
1,25,art_painting,cartoon,art_painting__cartoon,0.02,0.8038822188869986,0.7966209120453812,0.7984478605392404,-0.00726130684161741,-0.005434358347758184,-0.0018269484938592262,"D,D,F,D"
1,25,art_painting,cartoon,art_painting__cartoon,0.05,0.7851922296373651,0.77609344359244,0.7823388172579393,-0.009098786044925089,-0.0028534123794258237,-0.006245373665499265,"F,F,F,D"
1,25,art_painting,cartoon,art_painting__cartoon,0.1,0.7789813096653946,0.7585279582189084,0.7698388172579393,-0.02045335144648619,-0.009142492407455238,-0.011310859039030952,"F,F,F,D"
1,25,art_painting,cartoon,art_painting__cartoon,0.15,0.7789813096653946,0.7495798826935446,0.7691482487403801,-0.029401426971849998,-0.009833060925014458,-0.01956836604683554,"F,F,F,F"
1,25,art_painting,sketch,art_painting__sketch,0.0,0.8188822188869986,0.8075176237436743,0.8076360584761397,-0.01136459514332433,-0.011246160410858907,-0.00011843473246542224,"D,D,F,D"
1,25,art_painting,sketch,art_painting__sketch,0.02,0.8038822188869986,0.7957462638201378,0.7926360584761397,-0.008135955066860823,-0.011246160410858907,0.003110205343998085,"D,D,F,D"
1,25,art_painting,sketch,art_painting__sketch,0.05,0.7851922296373651,0.7807462638201379,0.7792543749595194,-0.0044459658172272265,-0.005937854677845689,0.0014918888606184622,"D,F,F,F"
1,25,art_painting,sketch,art_painting__sketch,0.1,0.7789813096653946,0.7738558186042204,0.7748493554861701,-0.005125491061174214,-0.004131954179224517,-0.000993536881949697,"F,F,F,F"
1,25,art_painting,sketch,art_painting__sketch,0.15,0.7789813096653946,0.7738558186042204,0.7748493554861701,-0.005125491061174214,-0.004131954179224517,-0.000993536881949697,"F,F,F,F"
1,25,cartoon,sketch,cartoon__sketch,0.0,0.8188822188869986,0.8093663317425157,0.814972040082752,-0.009515887144482926,-0.0039101788042466,-0.005605708340236326,"D,D,F,D"
1,25,cartoon,sketch,cartoon__sketch,0.02,0.8038822188869986,0.7943663317425157,0.799972040082752,-0.009515887144482926,-0.0039101788042466,-0.005605708340236326,"D,D,F,D"
1,25,cartoon,sketch,cartoon__sketch,0.05,0.7851922296373651,0.7718663317425156,0.7774720400827521,-0.013325897894849503,-0.007720189554613066,-0.005605708340236437,"D,D,F,D"
1,25,cartoon,sketch,cartoon__sketch,0.1,0.7789813096653946,0.7369962432935151,0.7456853478146882,-0.04198506637187949,-0.03329596185070638,-0.008689104521173108,"D,D,F,F"
1,25,cartoon,sketch,cartoon__sketch,0.15,0.7789813096653946,0.7119962432935152,0.7362065508155348,-0.0669850663718794,-0.04277475884985982,-0.02421030752201958,"F,F,F,F"
1,50,photo,art_painting,photo__art_painting,0.0,0.8188822188869986,0.8063775990177904,0.8063775990177904,-0.012504619869208256,-0.012504619869208256,0.0,"D,D,D,D"
1,50,photo,art_painting,photo__art_painting,0.02,0.8038822188869986,0.7863775990177905,0.7863775990177905,-0.01750461986920815,-0.01750461986920815,0.0,"D,D,D,D"
1,50,photo,art_painting,photo__art_painting,0.05,0.7851922296373651,0.7563775990177904,0.7629566469207639,-0.028814630619574677,-0.0222355827166012,-0.006579047902973478,"D,F,D,D"
1,50,photo,art_painting,photo__art_painting,0.1,0.7789813096653946,0.7183509644176445,0.7419836760546641,-0.06063034524775013,-0.036997633610730496,-0.023632711637019632,"F,F,F,D"
1,50,photo,art_painting,photo__art_painting,0.15,0.7789813096653946,0.7048354824662191,0.7294836760546641,-0.0741458271991755,-0.04949763361073045,-0.024648193588445055,"F,F,F,D"
1,50,photo,cartoon,photo__cartoon,0.0,0.8188822188869986,0.8063775990177904,0.8063775990177904,-0.012504619869208256,-0.012504619869208256,0.0,"D,D,D,D"
1,50,photo,cartoon,photo__cartoon,0.02,0.8038822188869986,0.7863775990177905,0.7881266059811735,-0.01750461986920815,-0.015755612905825167,-0.001749006963382982,"D,D,F,D"
1,50,photo,cartoon,photo__cartoon,0.05,0.7851922296373651,0.7563775990177904,0.7695567242764595,-0.028814630619574677,-0.015635505360905633,-0.013179125258669044,"F,D,F,D"
1,50,photo,cartoon,photo__cartoon,0.1,0.7789813096653946,0.7300873264471803,0.7526908696482886,-0.048893983218214254,-0.02629044001710601,-0.022603543201108245,"F,F,F,D"
1,50,photo,cartoon,photo__cartoon,0.15,0.7789813096653946,0.7175873264471803,0.7401908696482886,-0.06139398321821432,-0.038790440017105965,-0.022603543201108356,"F,F,F,D"
1,50,photo,sketch,photo__sketch,0.0,0.8188822188869986,0.8063775990177904,0.8077731488286961,-0.012504619869208256,-0.011109070058302528,-0.0013955498109057274,"D,D,F,D"
1,50,photo,sketch,photo__sketch,0.02,0.8038822188869986,0.7863775990177905,0.7927731488286961,-0.01750461986920815,-0.011109070058302528,-0.006395549810905621,"D,D,F,D"
1,50,photo,sketch,photo__sketch,0.05,0.7851922296373651,0.7669270645928666,0.7776142850445719,-0.018265165044498488,-0.007577944592793262,-0.010687220451705226,"D,F,F,F"
1,50,photo,sketch,photo__sketch,0.1,0.7789813096653946,0.762653994450974,0.7744407926648186,-0.016327315214420546,-0.004540517000576005,-0.01178679821384454,"F,F,F,F"
1,50,photo,sketch,photo__sketch,0.15,0.7789813096653946,0.762653994450974,0.7744407926648186,-0.016327315214420546,-0.004540517000576005,-0.01178679821384454,"F,F,F,F"
1,50,art_painting,cartoon,art_painting__cartoon,0.0,0.8188822188869986,0.8063775990177904,0.8083186045769859,-0.012504619869208256,-0.010563614310012737,-0.0019410055591955189,"D,D,F,D"
1,50,art_painting,cartoon,art_painting__cartoon,0.02,0.8038822188869986,0.7863775990177905,0.7933186045769859,-0.01750461986920815,-0.010563614310012737,-0.006941005559195412,"D,D,F,D"
1,50,art_painting,cartoon,art_painting__cartoon,0.05,0.7851922296373651,0.7563775990177904,0.7730432859715708,-0.028814630619574677,-0.012148943665794332,-0.016665686953780345,"F,F,F,D"
1,50,art_painting,cartoon,art_painting__cartoon,0.1,0.7789813096653946,0.7333061300370911,0.7605432859715708,-0.045675179628303475,-0.018438023693823746,-0.02723715593447973,"F,F,F,D"
1,50,art_painting,cartoon,art_painting__cartoon,0.15,0.7789813096653946,0.720806130037091,0.7525104699403203,-0.05817517962830354,-0.026470839725074247,-0.031704339903229295,"F,F,F,F"
1,50,art_painting,sketch,art_painting__sketch,0.0,0.8188822188869986,0.8063775990177904,0.8063775990177904,-0.012504619869208256,-0.012504619869208256,0.0,"D,D,D,D"
1,50,art_painting,sketch,art_painting__sketch,0.02,0.8038822188869986,0.7863775990177905,0.7884106073152503,-0.01750461986920815,-0.015471611571748367,-0.002033008297459782,"D,D,F,D"
1,50,art_painting,sketch,art_painting__sketch,0.05,0.7851922296373651,0.7563775990177904,0.7659106073152503,-0.028814630619574677,-0.019281622322114833,-0.009533008297459844,"D,D,F,D"
1,50,art_painting,sketch,art_painting__sketch,0.1,0.7789813096653946,0.7265817813909399,0.7515255889990742,-0.05239952827445471,-0.027455720666320405,-0.024943807608134305,"F,F,F,F"
1,50,art_painting,sketch,art_painting__sketch,0.15,0.7789813096653946,0.7254094659686642,0.7515255889990742,-0.053571843696730403,-0.027455720666320405,-0.02611612303041,"F,F,F,F"
1,50,cartoon,sketch,cartoon__sketch,0.0,0.8188822188869986,0.8103280302168433,0.8119809562222842,-0.008554188670155338,-0.006901262664714469,-0.001652926005440869,"D,D,F,D"
1,50,cartoon,sketch,cartoon__sketch,0.02,0.8038822188869986,0.7953280302168433,0.7969809562222842,-0.008554188670155338,-0.006901262664714469,-0.001652926005440869,"D,D,F,D"
1,50,cartoon,sketch,cartoon__sketch,0.05,0.7851922296373651,0.7728280302168433,0.7744809562222842,-0.012364199420521804,-0.010711273415080935,-0.001652926005440869,"D,D,F,D"
1,50,cartoon,sketch,cartoon__sketch,0.1,0.7789813096653946,0.7353280302168435,0.7376612513392417,-0.04365327944855113,-0.04132005832615293,-0.002333221122398199,"D,D,F,F"
1,50,cartoon,sketch,cartoon__sketch,0.15,0.7789813096653946,0.7059464846350286,0.7126612513392416,-0.07303482503036596,-0.06632005832615295,-0.006714766704213004,"D,D,F,F"
1,100,photo,art_painting,photo__art_painting,0.0,0.8188822188869986,0.8063775990177904,0.8063775990177904,-0.012504619869208256,-0.012504619869208256,0.0,"D,D,D,D"
1,100,photo,art_painting,photo__art_painting,0.02,0.8038822188869986,0.7863775990177905,0.7863775990177905,-0.01750461986920815,-0.01750461986920815,0.0,"D,D,D,D"
1,100,photo,art_painting,photo__art_painting,0.05,0.7851922296373651,0.7596256407689309,0.765786062540047,-0.025566588868434215,-0.019406167097318128,-0.006160421771116087,"F,F,D,D"
1,100,photo,art_painting,photo__art_painting,0.1,0.7789813096653946,0.7390792600195066,0.7461916668539355,-0.03990204964588795,-0.03278964281145913,-0.007112406834428819,"F,F,F,D"
1,100,photo,art_painting,photo__art_painting,0.15,0.7789813096653946,0.7265792600195066,0.7336916668539354,-0.052402049645888016,-0.045289642811459196,-0.007112406834428819,"F,F,F,D"
1,100,photo,cartoon,photo__cartoon,0.0,0.8188822188869986,0.8063775990177904,0.8063775990177904,-0.012504619869208256,-0.012504619869208256,0.0,"D,D,D,D"
1,100,photo,cartoon,photo__cartoon,0.02,0.8038822188869986,0.7863775990177905,0.7863775990177905,-0.01750461986920815,-0.01750461986920815,0.0,"D,D,D,D"
1,100,photo,cartoon,photo__cartoon,0.05,0.7851922296373651,0.762088694956123,0.7672653718505211,-0.023103534681242155,-0.017926857786843997,-0.005176676894398158,"F,D,F,D"
1,100,photo,cartoon,photo__cartoon,0.1,0.7789813096653946,0.7382277171839349,0.7476562943172489,-0.04075359248145971,-0.03132501534814569,-0.00942857713331402,"F,F,F,D"
1,100,photo,cartoon,photo__cartoon,0.15,0.7789813096653946,0.7257277171839349,0.7351562943172488,-0.053253592481459666,-0.04382501534814576,-0.009428577133313909,"F,F,F,D"
1,100,photo,sketch,photo__sketch,0.0,0.8188822188869986,0.8063775990177904,0.8063775990177904,-0.012504619869208256,-0.012504619869208256,0.0,"D,D,D,D"
1,100,photo,sketch,photo__sketch,0.02,0.8038822188869986,0.788525192355899,0.7864983594335955,-0.015357026531099605,-0.01738385945340315,0.0020268329223035453,"D,D,F,D"
1,100,photo,sketch,photo__sketch,0.05,0.7851922296373651,0.7754107822316804,0.7647112722102498,-0.009781447405684762,-0.02048095742711531,0.010699510021430547,"D,F,F,D"
1,100,photo,sketch,photo__sketch,0.1,0.7789813096653946,0.7629107822316803,0.7496163000782836,-0.016070527433714288,-0.02936500958711097,0.01329448215339668,"F,F,F,F"
1,100,photo,sketch,photo__sketch,0.15,0.7789813096653946,0.7554995403278666,0.7496163000782836,-0.02348176933752799,-0.02936500958711097,0.005883240249582977,"F,F,F,F"
1,100,art_painting,cartoon,art_painting__cartoon,0.0,0.8188822188869986,0.8063775990177904,0.8063775990177904,-0.012504619869208256,-0.012504619869208256,0.0,"D,D,D,D"
1,100,art_painting,cartoon,art_painting__cartoon,0.02,0.8038822188869986,0.7863775990177905,0.7863775990177905,-0.01750461986920815,-0.01750461986920815,0.0,"D,D,D,D"
1,100,art_painting,cartoon,art_painting__cartoon,0.05,0.7851922296373651,0.7563775990177904,0.7593663461880553,-0.028814630619574677,-0.025825883449309806,-0.0029887471702648716,"D,F,F,D"
1,100,art_painting,cartoon,art_painting__cartoon,0.1,0.7789813096653946,0.733355162765555,0.7440362058320926,-0.04562614689983957,-0.03494510383330196,-0.01068104306653761,"F,F,F,D"
