seed,grouping,label_mode,budget,intervention,source_groups,actual_examples,validation_balanced_accuracy,test_balanced_accuracy
1,random,true,20,4,[4],20,0.9469626769626769,0.9466304539833951
1,random,true,20,1+2,"[1,2]",40,0.9498198198198198,0.9497350291467939
1,random,true,20,1+3,"[1,3]",40,0.9498198198198198,0.9524377318494965
1,random,true,20,1+4,"[1,4]",40,0.9498198198198198,0.9497350291467939
1,random,true,20,2+3,"[2,3]",40,0.94981981981982,0.9466304539833951
1,random,true,20,2+4,"[2,4]",40,0.9469626769626769,0.9466304539833951
1,random,true,20,3+4,"[3,4]",40,0.94981981981982,0.9466304539833951
1,random,true,40,0,[],0,0.9469626769626769,0.9466304539833951
1,random,true,40,1,[1],40,0.9470420420420421,0.952274333156686
1,random,true,40,2,[2],36,0.9469626769626769,0.9466304539833951
1,random,true,40,3,[3],36,0.94981981981982,0.9466304539833951
1,random,true,40,4,[4],36,0.94981981981982,0.9495716304539833
1,random,true,40,1+2,"[1,2]",76,0.9498198198198198,0.9552155096272742
1,random,true,40,1+3,"[1,3]",76,0.94981981981982,0.952274333156686
1,random,true,40,1+4,"[1,4]",76,0.9498991848991849,0.9552155096272742
1,random,true,40,2+3,"[2,3]",72,0.9469626769626769,0.9466304539833951
1,random,true,40,2+4,"[2,4]",72,0.94981981981982,0.9495716304539833
1,random,true,40,3+4,"[3,4]",72,0.9555341055341057,0.9495716304539833
2,competence,pseudo,5,0,[],0,0.9446610896610895,0.9445548489666136
2,competence,pseudo,5,1,[1],5,0.9474388674388674,0.9445548489666136
2,competence,pseudo,5,2,[2],5,0.9446610896610895,0.9445548489666136
2,competence,pseudo,5,3,[3],5,0.9446610896610895,0.9445548489666136
2,competence,pseudo,5,4,[4],5,0.9446610896610895,0.9445548489666136
2,competence,pseudo,5,1+2,"[1,2]",10,0.9474388674388674,0.9445548489666136
