domain,N,c,B,n_seeds,n_integration_changes,n_current_fast,n_noncompensating,mean_rho,std_rho,mean_DeltaV,std_DeltaV,mean_H,std_H,mean_DeltaV_local,mean_DeltaV_cross
art_painting,100,0.0,2,5,0,2,2,-0.004564307855708649,0.04552405091196551,-0.012436126502082234,0.008016602216318846,-0.020307945148455818,0.05817023267912649,-0.00394557745429322,-0.008490549047789054
art_painting,100,0.0,5,5,0,2,2,-0.004564307855708649,0.04552405091196551,-0.012436126502082234,0.008016602216318846,-0.057616324654702525,0.07946552569590647,-0.00394557745429322,-0.008490549047789054
art_painting,100,0.0,10,5,0,2,2,-0.004564307855708649,0.04552405091196551,-0.012436126502082234,0.008016602216318846,-0.1197969571651137,0.11734733014241407,-0.00394557745429322,-0.008490549047789054
art_painting,100,0.02,1,5,0,2,2,0.015435692144291368,0.04552405091196551,-0.01805441176856557,0.009818541057705087,-0.033490103912856936,0.053375041732955736,-0.004945577454293221,-0.01310883431427235
art_painting,100,0.02,2,5,0,2,2,0.015435692144291368,0.04552405091196551,-0.01805441176856557,0.009818541057705087,-0.05154451568142251,0.06179124893994282,-0.004945577454293221,-0.01310883431427235
art_painting,100,0.02,5,5,0,2,2,0.015435692144291368,0.04552405091196551,-0.01805441176856557,0.009818541057705087,-0.10570775098711922,0.08878509742220102,-0.004945577454293221,-0.01310883431427235
art_painting,100,0.02,10,5,0,2,2,0.015435692144291368,0.04552405091196551,-0.01805441176856557,0.009818541057705087,-0.19597980982994706,0.13606371765535533,-0.004945577454293221,-0.01310883431427235
art_painting,100,0.05,1,5,0,5,5,0.0454356921442914,0.04552405091196551,-0.030186140201358326,0.01009361630788112,-0.07562183234564972,0.05373401825627963,-0.0068900874076608,-0.023296052793697508
art_painting,100,0.05,2,5,0,5,5,0.0454356921442914,0.04552405091196551,-0.030186140201358326,0.01009361630788112,-0.10580797254700805,0.062498099209804814,-0.0068900874076608,-0.023296052793697508
art_painting,100,0.05,5,5,0,5,5,0.0454356921442914,0.04552405091196551,-0.030186140201358326,0.01009361630788112,-0.196366393151083,0.09046871584975949,-0.0068900874076608,-0.023296052793697508
