delta,b,s,ell,h,valid,dV_analytic,classification
0.3,-0.95,0.03499999999999992,0.31049999999999994,-0.13499999999999998,False,,
0.3,-0.95,0.06666666666666665,0.32,-0.13499999999999998,False,,
0.3,-0.95,0.09833333333333316,0.32949999999999996,-0.13499999999999998,False,,
0.3,-0.95,0.1299999999999999,0.33899999999999997,-0.13499999999999998,False,,
0.3,-0.95,0.16166666666666663,0.3485,-0.13499999999999998,False,,
0.3,-0.95,0.19333333333333313,0.35799999999999993,-0.13499999999999998,False,,
0.3,-0.95,0.22499999999999987,0.36749999999999994,-0.13499999999999998,False,,
0.3,-0.95,0.2566666666666666,0.37699999999999995,-0.13499999999999998,False,,
0.3,-0.95,0.2883333333333331,0.3864999999999999,-0.13499999999999998,False,,
0.3,-0.95,0.31999999999999984,0.3959999999999999,-0.13499999999999998,False,,
0.3,-0.95,0.35166666666666657,0.40549999999999997,-0.13499999999999998,False,,
0.3,-0.95,0.3833333333333331,0.4149999999999999,-0.13499999999999998,False,,
0.3,-0.95,0.4149999999999998,0.42449999999999993,-0.13499999999999998,False,,
0.3,-0.95,0.44666666666666655,0.43399999999999994,-0.13499999999999998,False,,
0.3,-0.95,0.47833333333333306,0.4434999999999999,-0.13499999999999998,False,,
0.3,-0.95,0.5099999999999998,0.45299999999999996,-0.13499999999999998,False,,
0.3,-0.95,0.5416666666666665,0.4624999999999999,-0.13499999999999998,False,,
0.3,-0.95,0.573333333333333,0.47199999999999986,-0.13499999999999998,False,,
0.3,-0.95,0.6049999999999998,0.48149999999999993,-0.13499999999999998,False,,
0.3,-0.95,0.6366666666666665,0.49099999999999994,-0.13499999999999998,False,,
0.3,-0.95,0.6683333333333332,0.5005,-0.13499999999999998,False,,
0.3,-0.95,0.6999999999999997,0.5099999999999999,-0.13499999999999998,False,,
0.3,-0.95,0.7316666666666665,0.5195,-0.13499999999999998,False,,
0.3,-0.95,0.7633333333333332,0.5289999999999999,-0.13499999999999998,False,,
0.3,-0.95,0.7949999999999997,0.5384999999999999,-0.13499999999999998,False,,
0.3,-0.95,0.8266666666666664,0.5479999999999999,-0.13499999999999998,False,,
0.3,-0.95,0.8583333333333332,0.5574999999999999,-0.13499999999999998,False,,
0.3,-0.95,0.8899999999999999,0.567,-0.13499999999999998,False,,
